species,year,speed_spring,speed_fall,spring_begin_yday,spring_end_yday,fall_begin_yday,fall_end_yday,max_lat,breeding_median_lon,spring_median_lon,fall_median_lon
Chimney Swift,2009,19.84521527109908,9.50533889817758,NA,143,221,NA,37.84987041362869,-84.50482168973758,-87.54801565383725,-86.51055237957576
Chimney Swift,2010,76.8725089822225,139.22017100130125,NA,136,271,NA,38.07473555760227,-85.35155614310952,-88.11508174499622,-86.30113654183057
Chimney Swift,2011,57.9881675385174,50.81621016400019,NA,113,279,NA,37.71606041563629,-86.09355767147474,-88.51792904698428,-84.88411401595735
Chimney Swift,2012,17.720684002949138,28.095443152568293,NA,137,267,NA,37.441987223742245,-86.17766572929948,-87.43127682640412,-87.28652751020476
Chimney Swift,2013,21.30352507709391,114.2716562443963,NA,143,280,NA,38.019833036382714,-86.52902102588999,-87.82404704061348,-85.30582825711478
Chimney Swift,2014,44.241254650001736,92.38842298953752,NA,130,282,NA,37.79405835991928,-86.75948588609167,-88.09703361679513,-86.09310655613184
Chimney Swift,2015,41.01208494052636,122.94533422847724,NA,132,279,NA,37.883231500312945,-86.5826182275029,-88.16127906620898,-87.49858807566878
Chimney Swift,2016,74.14112364058603,123.6526696203032,NA,118,284,NA,37.84257041556992,-86.72918438608647,-88.35792632709396,-85.88364952837631
Chimney Swift,2017,60.58696668079749,161.2987812169543,NA,139,282,NA,38.22316837890224,-86.98455399985967,-87.78779060952746,-85.32831313183553
Chimney Swift,2018,81.98319669960193,52.113703002391446,NA,138,282,NA,37.97515611995193,-87.2074772992956,-88.3979987219478,-87.63090185623591
Vaux's Swift,2009,80.2769074364546,71.18186470215272,70,132,241,304,44.62197968015768,-116.99337067328011,-111.62022082158117,-114.16539089344448
Vaux's Swift,2010,103.42029246642213,109.29887967809606,77,132,258,314,43.97193544842915,-118.5002754223294,-109.3127699322273,-116.3795868208208
Vaux's Swift,2011,183.3817180673987,185.21202428431516,73,117,279,320,44.56988964600451,-118.12931484437853,-104.43251923085168,-97.01221061408614
Vaux's Swift,2012,123.3099728321655,77.68583052453151,79,133,247,297,44.5971426415508,-119.4898945326199,-105.53051603395538,-114.22766606208516
Vaux's Swift,2013,89.29043763396216,120.62949013321705,76,135,261,312,41.16664450082317,-115.21873139109915,-106.01962963460261,-105.11878327962803
Vaux's Swift,2014,94.83572180366237,78.76606247492926,80,136,240,301,40.72567633208774,-114.83631710399644,-104.506204164536,-106.29990363813442
Vaux's Swift,2015,105.53069248771126,96.8408461532411,79,133,244,299,37.970265834173496,-110.57883355557047,-102.32152717061554,-101.79291656984306
Vaux's Swift,2016,87.56223112360419,79.54498517840872,82,134,239,297,39.11736572801842,-111.14504834901604,-101.159678476233,-103.47746785967382
Vaux's Swift,2017,90.57445857090282,80.86960870604862,85,137,247,301,35.412150784463236,-106.47685857969516,-100.69162766247896,-99.03691367199391
Vaux's Swift,2018,69.05311983508741,71.8123467664754,83,139,243,298,34.64641772136188,-106.89690526863072,-100.91909714766176,-101.22269471267131
